Orderregel,MachineNaam,Sum of VOCA in uur,Status
175128,Chiesa,0.79,InProgress
175150,Degel 1,2.97,InProgress
175160,Giant,1.01,InProgress
175161,Giant,0.39,InProgress
171765,Quad,71.67,InProgress
171766,Quad,25.17,InProgress
171767,Quad,8.39,InProgress
172850,Verzenden,0,InProgress
174230,Quad,6.83,InProgress
174806,Flash_Cut 1,12.55,InProgress
174909,Snijmachine,3.33,InProgress
175217,Laser 4,168.56,InProgress
175267,Quad,4.29,InProgress
175302,Quad,6.75,InProgress
175403,Assemblage Secrid,10,InProgress
175404,Assemblage Secrid,21.11,InProgress
175405,Assemblage Secrid,5.56,InProgress
175406,Assemblage Secrid,6.77,InProgress
175407,Snijmachine,2.17,InProgress
175420,Assemblage Secrid,0.8,InProgress
175433,Laser 4,0.41,InProgress
175472,Laser 4,0.02,InProgress
175531,Giant,2.75,InProgress
175685,,23.75,InProgress
175686,Stikken Secrid,9.25,InProgress
175687,Stikken Secrid,15.42,InProgress
175688,Stikken Secrid,9.25,InProgress
175689,Stikken Secrid,12.33,InProgress
175690,Stikken Secrid,23.75,InProgress
175691,Stikken Secrid,6.17,InProgress
175692,Stikken Secrid,9.25,InProgress
175693,Stikken Secrid,6.17,InProgress
175694,Stikken Secrid,6.17,InProgress
175695,,3.04,InProgress
175696,,0.86,InProgress
175697,Stikken Secrid,18.5,InProgress
175698,Stikken Secrid,9.25,InProgress
174924,Atom,5.63,InProgress
174949,Degel 4,84.29,InProgress
175305,Laser 3,1.09,InProgress
175511,Laser 3,0.25,InProgress
173102,Laser 2,96.43,InProgress
174047,Giant,124.53,InProgress
174579,Laser 2,0.31,InProgress
174734,Chiesa,1.58,InProgress
174735,Chiesa,2.5,InProgress
174736,Chiesa,0.83,InProgress
174742,Chiesa,3.75,InProgress
174743,Chiesa,7.5,InProgress
174744,Chiesa,2.5,InProgress
174971,Giant,2.97,InProgress
174972,Giant,3.35,InProgress
175117,Atom,2.81,InProgress
175118,Flash_Cut 2,1.99,InProgress
175125,Atom,0.55,InProgress
175126,Flash_Cut 2,1.02,InProgress
175127,Flash_Cut 2,3.75,InProgress
175135,Atom,35.72,InProgress
175139,Giant,1.5,InProgress
175141,Giant,1.39,InProgress
175199,Atom,2.36,InProgress
175245,Degel 2,4.4,InProgress
175430,Degel 4,6.06,InProgress
